"Matrix","nitrogen","oxygen","ph","phosphorus","temperature","turbidity","electricalconductivity","nitrate","nitrite","salinity","sodium","Season01","Month","Seasonr","PercHighIntens","PercAgri","Region"
"water","*","7.2","7.58","*","24","*","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","0.4605","7.73","7.62","0.25","16.02","32","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","*","7.9","8.32","*","26","*","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","0.95","3.48","7.16","0.39","13.72","52","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","1.05","6.94","7.14","0.13","16.67","5.4","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","0.71","10.9","7.5","0.032","17.5","3.2","136","0.046","0.0042","*","*","dry","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.32","12.8","7.8","0.032","17.3","2.9","121","0.048","0.0042","*","*","dry","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.55","4.84","8.07","0.11","19.01","3.1","*","*","*","*","*","dry","10","dry","2.99070155978253","76.522191638251","South"
"water","*","7","7.82","*","25","*","*","*","*","*","*","dry","10","dry","2.99070155978253","76.522191638251","South"
"water","0.7","14.4","7.3","0.035","16.5","3.3","140","0.057","0.0042","*","*","wet","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.2","13.6","7.7","0.032","16.2","4.4","125","0.084","0.0042","*","*","wet","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","10.4","*","*","*","*","*","wet","10","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","*","*","*","*","7.7","*","*","*","*","*","wet","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","15.4","*","*","*","*","*","wet","10","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","5.2","*","*","*","*","*","wet","10","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","2.5","*","*","*","*","*","wet","10","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","2.6","*","*","*","*","*","wet","10","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","50.7","*","*","*","*","*","wet","10","dry","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","163.7","*","*","*","*","*","wet","10","dry","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","2.9","*","*","*","*","*","wet","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","21.7","*","*","*","*","*","wet","10","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.79","6.6","*","15.48","7.45","*","*","*","*","*","wet","10","wet","1.14840511162082","84.316574777162","Central"
"water","0.41","9","7.7","0.085","17.6","9.5","*","*","0.01","*","*","wet","10","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.57","9.1","7.5","0.078","17.5","18.3","*","*","0.02","*","*","wet","10","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.605","7.5","7.3","0.102","17.4","14","*","*","0.03","*","*","wet","10","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.59","7.5","7.5","0.116","17.5","22.5","*","*","0.02","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","0.61","8.6","7.6","0.108","17.3","36.5","*","*","0.02","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","0.635","8.2","7.6","0.119","17.3","38.3","*","*","0.01","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","0.745","5.7","7.7","0.294","17.6","92.4","*","*","0.01","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","0.605","7.6","7.3","0.079","17.5","4.4","*","*","0.02","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.48","7.9","7.4","0.097","17.2","4.3","*","*","0.01","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.68","8.3","6.9","0.087","17.2","3.5","*","*","0.01","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.22","8.1","7.4","0.044","16.4","4.2","*","*","0","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.235","9","7.5","0.032","15.9","5.8","*","*","0","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.9","8.3","7.5","0.088","18.1","4.9","*","*","0.01","*","*","wet","10","wet","1.14840511162082","84.316574777162","Central"
"water","0.65","8.8","7.6","0.071","19.2","1.9","*","*","0.01","*","*","wet","10","wet","1.14840511162082","84.316574777162","Central"
"water","2.14","7.7","7.5","0.107","19","3.5","*","*","0.02","*","*","wet","10","wet","1.14840511162082","84.316574777162","Central"
"water","0.52","9","7.4","0.073","18.1","2.7","*","*","0.04","*","*","wet","10","wet","1.14840511162082","84.316574777162","Central"
"water","0.465","8.6","7.6","0.085","17.1","11.9","*","*","0.01","*","*","wet","10","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.525","8.7","7.7","0.079","16.7","17.2","*","*","0.01","*","*","wet","10","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.515","8.6","7.6","0.104","16.9","15.9","*","*","0.01","*","*","wet","10","wet","5.03726244534141","31.7753006222671","Confluence"
"water","0.47","7.44","7.97","0.49","17.9","25","*","*","*","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","4.33","11.2","8.25","1.3","20","13","*","*","*","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","*","7.1","7.34","*","17.9","26","*","*","*","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","18.8","*","*","*","*","*","wet","10","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","1.9","*","*","*","*","*","wet","10","wet","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","20.3","*","*","*","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","42.7","*","*","*","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","*","*","*","*","*","2.6","*","*","*","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","7.85","7.43","*","22.2","*","*","*","*","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.23","7.43","*","16.66","14.5","*","*","*","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","4.4","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","48.6","*","*","*","*","*","dry","10","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9","*","*","*","6.2","*","*","*","*","*","dry","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","*","*","*","*","18.7","*","*","*","*","*","dry","10","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","39.8","*","*","*","*","*","dry","10","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","2","*","*","*","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","2.3","*","*","*","*","*","dry","11","dry","1.14840511162082","84.316574777162","Central"
"water","*","*","*","*","*","9.4","*","*","*","*","*","dry","11","dry","0.557554028377577","77.3952613874278","North"
