Name,Longitude,Latitude,Elevation_ft,Date,ppt_in
Location 1,-121.4931,37.775,7,10/1/2016,0
Location 1,-121.4931,37.775,7,10/2/2016,0
Location 1,-121.4931,37.775,7,10/3/2016,0
Location 1,-121.4931,37.775,7,10/4/2016,0
Location 1,-121.4931,37.775,7,10/5/2016,0
Location 1,-121.4931,37.775,7,10/6/2016,0
Location 1,-121.4931,37.775,7,10/7/2016,0
Location 1,-121.4931,37.775,7,10/8/2016,0
Location 1,-121.4931,37.775,7,10/9/2016,0
Location 1,-121.4931,37.775,7,10/10/2016,0
Location 1,-121.4931,37.775,7,10/11/2016,0
Location 1,-121.4931,37.775,7,10/12/2016,0
Location 1,-121.4931,37.775,7,10/13/2016,0
Location 1,-121.4931,37.775,7,10/14/2016,0
Location 1,-121.4931,37.775,7,10/15/2016,0.34
Location 1,-121.4931,37.775,7,10/16/2016,0.35
Location 1,-121.4931,37.775,7,10/17/2016,0.86
Location 1,-121.4931,37.775,7,10/18/2016,0
Location 1,-121.4931,37.775,7,10/19/2016,0
Location 1,-121.4931,37.775,7,10/20/2016,0
Location 1,-121.4931,37.775,7,10/21/2016,0
Location 1,-121.4931,37.775,7,10/22/2016,0
Location 1,-121.4931,37.775,7,10/23/2016,0
Location 1,-121.4931,37.775,7,10/24/2016,0
Location 1,-121.4931,37.775,7,10/25/2016,0.04
Location 1,-121.4931,37.775,7,10/26/2016,0
Location 1,-121.4931,37.775,7,10/27/2016,0
Location 1,-121.4931,37.775,7,10/28/2016,0.62
Location 1,-121.4931,37.775,7,10/29/2016,0.22
Location 1,-121.4931,37.775,7,10/30/2016,0
Location 1,-121.4931,37.775,7,10/31/2016,0.34
Location 1,-121.4931,37.775,7,11/1/2016,0.05
Location 1,-121.4931,37.775,7,11/2/2016,0.01
Location 1,-121.4931,37.775,7,11/3/2016,0
Location 1,-121.4931,37.775,7,11/4/2016,0
Location 1,-121.4931,37.775,7,11/5/2016,0
Location 1,-121.4931,37.775,7,11/6/2016,0
Location 1,-121.4931,37.775,7,11/7/2016,0
Location 1,-121.4931,37.775,7,11/8/2016,0
Location 1,-121.4931,37.775,7,11/9/2016,0
Location 1,-121.4931,37.775,7,11/10/2016,0
Location 1,-121.4931,37.775,7,11/11/2016,0
Location 1,-121.4931,37.775,7,11/12/2016,0
Location 1,-121.4931,37.775,7,11/13/2016,0
Location 1,-121.4931,37.775,7,11/14/2016,0
Location 1,-121.4931,37.775,7,11/15/2016,0
Location 1,-121.4931,37.775,7,11/16/2016,0
Location 1,-121.4931,37.775,7,11/17/2016,0
Location 1,-121.4931,37.775,7,11/18/2016,0
Location 1,-121.4931,37.775,7,11/19/2016,0
Location 1,-121.4931,37.775,7,11/20/2016,0.25
Location 1,-121.4931,37.775,7,11/21/2016,0.19
Location 1,-121.4931,37.775,7,11/22/2016,0
Location 1,-121.4931,37.775,7,11/23/2016,0.05
Location 1,-121.4931,37.775,7,11/24/2016,0
Location 1,-121.4931,37.775,7,11/25/2016,0
Location 1,-121.4931,37.775,7,11/26/2016,0
Location 1,-121.4931,37.775,7,11/27/2016,0.26
Location 1,-121.4931,37.775,7,11/28/2016,0.05
Location 1,-121.4931,37.775,7,11/29/2016,0
Location 1,-121.4931,37.775,7,11/30/2016,0
Location 1,-121.4931,37.775,7,12/1/2016,0
Location 1,-121.4931,37.775,7,12/2/2016,0
Location 1,-121.4931,37.775,7,12/3/2016,0
Location 1,-121.4931,37.775,7,12/4/2016,0
Location 1,-121.4931,37.775,7,12/5/2016,0
Location 1,-121.4931,37.775,7,12/6/2016,0
Location 1,-121.4931,37.775,7,12/7/2016,0
Location 1,-121.4931,37.775,7,12/8/2016,0.15
Location 1,-121.4931,37.775,7,12/9/2016,0.04
Location 1,-121.4931,37.775,7,12/10/2016,0.02
Location 1,-121.4931,37.775,7,12/11/2016,0.22
Location 1,-121.4931,37.775,7,12/12/2016,0.01
Location 1,-121.4931,37.775,7,12/13/2016,0
Location 1,-121.4931,37.775,7,12/14/2016,0.01
Location 1,-121.4931,37.775,7,12/15/2016,0
Location 1,-121.4931,37.775,7,12/16/2016,0.64
Location 1,-121.4931,37.775,7,12/17/2016,0
Location 1,-121.4931,37.775,7,12/18/2016,0
Location 1,-121.4931,37.775,7,12/19/2016,0.01
Location 1,-121.4931,37.775,7,12/20/2016,0
Location 1,-121.4931,37.775,7,12/21/2016,0
Location 1,-121.4931,37.775,7,12/22/2016,0
Location 1,-121.4931,37.775,7,12/23/2016,0.12
Location 1,-121.4931,37.775,7,12/24/2016,0.5
Location 1,-121.4931,37.775,7,12/25/2016,0
Location 1,-121.4931,37.775,7,12/26/2016,0
Location 1,-121.4931,37.775,7,12/27/2016,0
Location 1,-121.4931,37.775,7,12/28/2016,0
Location 1,-121.4931,37.775,7,12/29/2016,0
Location 1,-121.4931,37.775,7,12/30/2016,0
Location 1,-121.4931,37.775,7,12/31/2016,0
Location 1,-121.4931,37.775,7,1/1/2017,0.02
Location 1,-121.4931,37.775,7,1/2/2017,0
Location 1,-121.4931,37.775,7,1/3/2017,0.16
Location 1,-121.4931,37.775,7,1/4/2017,0.72
Location 1,-121.4931,37.775,7,1/5/2017,0.34
Location 1,-121.4931,37.775,7,1/6/2017,0
Location 1,-121.4931,37.775,7,1/7/2017,0.15
Location 1,-121.4931,37.775,7,1/8/2017,0.48
Location 1,-121.4931,37.775,7,1/9/2017,0.75
Location 1,-121.4931,37.775,7,1/10/2017,0.34
Location 1,-121.4931,37.775,7,1/11/2017,0.84
Location 1,-121.4931,37.775,7,1/12/2017,0.1
Location 1,-121.4931,37.775,7,1/13/2017,0.03
Location 1,-121.4931,37.775,7,1/14/2017,0
Location 1,-121.4931,37.775,7,1/15/2017,0
Location 1,-121.4931,37.775,7,1/16/2017,0
Location 1,-121.4931,37.775,7,1/17/2017,0
Location 1,-121.4931,37.775,7,1/18/2017,0.08
Location 1,-121.4931,37.775,7,1/19/2017,0.74
Location 1,-121.4931,37.775,7,1/20/2017,0.47
Location 1,-121.4931,37.775,7,1/21/2017,0.45
